Searching for all records on 2026-02-10:
Total rows today: 654

Date: 2026-02-10 00:00:00, Part: 14201400428A, Target: 68, Comp: 0, CP: P3
Date: 2026-02-10 00:00:00, Part: 14201400428A, Target: 68, Comp: 0, CP: P3
Date: 2026-02-10 00:00:00, Part: 14201400428A, Target: 281, Comp: 237, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400428A, Target: 281, Comp: 237, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400428A, Target: 281, Comp: 237, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400428A, Target: 281, Comp: 237, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400428A, Target: 281, Comp: 237, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400429A, Target: 77, Comp: 55, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400429A, Target: 77, Comp: 55, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400429A, Target: 77, Comp: 55, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204400317A, Target: 2106, Comp: 1603, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400227A, Target: 32, Comp: 26, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400227A, Target: 32, Comp: 26, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400227A, Target: 32, Comp: 26, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201300012A, Target: 54, Comp: 35, CP: P4
Date: 2026-02-10 00:00:00, Part: 14201300012A, Target: 54, Comp: 35, CP: P4
Date: 2026-02-10 00:00:00, Part: 14201300012A, Target: 54, Comp: 35, CP: P4
Date: 2026-02-10 00:00:00, Part: 14201300012A, Target: 54, Comp: 35, CP: P4
Date: 2026-02-10 00:00:00, Part: 14201300012A, Target: 54, Comp: 35, CP: P4
Date: 2026-02-10 00:00:00, Part: 14201400211A, Target: 31, Comp: 20, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400211A, Target: 31, Comp: 20, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400211A, Target: 31, Comp: 20, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400211A, Target: 31, Comp: 20, CP: P1
Date: 2026-02-10 00:00:00, Part: 14203400199A, Target: 119, Comp: 100, CP: P1
Date: 2026-02-10 00:00:00, Part: 14203400199A, Target: 119, Comp: 100, CP: P1
Date: 2026-02-10 00:00:00, Part: 14203400199A, Target: 119, Comp: 100, CP: P1
Date: 2026-02-10 00:00:00, Part: 14203400199A, Target: 119, Comp: 100, CP: P1
Date: 2026-02-10 00:00:00, Part: 14203400199A, Target: 119, Comp: 100, CP: P1
Date: 2026-02-10 00:00:00, Part: 14203400199A, Target: 119, Comp: 100, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 253, Comp: 158, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 392, Comp: 288, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
